r	c 	color	word
1	1	1	자신감을느낀다, 개운하다, 온화하다
1	2	101	없음
1	3	101	없음
1	4	101	없음
1	5	101	없음
1	6	6	아련하다
1	7	101	없음
1	8	101	없음
1	9	9	한심하다
1	10	10	혼란스럽다, 좋다, 좋다, 활기차다
2	1	101	없음
2	2	12	막막하다
2	3	101	없음
2	4	14	측은하다
2	5	101	없음
2	6	101	없음
2	7	101	없음
2	8	101	없음
2	9	19	훈훈하다
2	10	20	정신이번쩍든다, 안전하다, 마음이가볍다
3	1	21	처참하다
3	2	101	없음
3	3	101	없음
3	4	101	없음
3	5	25	안심된다
3	6	101	없음
3	7	101	없음
3	8	28	아름답다
3	9	101	없음
3	10	101	없음
4	1	101	없음
4	2	101	없음
4	3	101	없음
4	4	101	없음
4	5	101	없음
4	6	101	없음
4	7	101	없음
4	8	101	없음
4	9	101	없음
4	10	101	없음
5	1	101	없음
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	101	없음
5	6	46	흥분된다
5	7	101	없음
5	8	101	없음
5	9	101	없음
5	10	101	없음
6	1	51	후회스럽다
6	2	52	안타깝다
6	3	53	상쾌하다, 신난다
6	4	54	착잡하다
6	5	55	개운하다
6	6	56	불안하다
6	7	101	없음
6	8	101	없음
6	9	101	없음
6	10	60	신경질난다, 막막하다, 활기차다, 안전하다
7	1	61	가엾다
7	2	101	없음
7	3	63	자유롭다
7	4	101	없음
7	5	101	없음
7	6	101	없음
7	7	67	불쾌하다
7	8	101	없음
7	9	69	안전하다
7	10	70	상쾌하다
8	1	101	없음
8	2	101	없음
8	3	73	괴롭다
8	4	74	편안하다
8	5	101	없음
8	6	101	없음
8	7	101	없음
8	8	78	생소하다
8	9	101	없음
8	10	101	없음
9	1	101	없음
9	2	82	울적하다, 쌀쌀하다
9	3	101	없음
9	4	84	짜증난다
9	5	101	없음
9	6	86	섭섭하다
9	7	101	없음
9	8	88	울적하다, 쌀쌀하다
9	9	89	아프다
9	10	101	없음
10	1	101	없음
10	2	92	가슴이찢어진다
10	3	101	없음
10	4	101	없음
10	5	101	없음
10	6	101	없음
10	7	101	없음
10	8	98	아련하다, 그립다
10	9	99	괴롭다
10	10	100	미안하다
