r	c	color	word
1	1	1	흥분된다, 씩씩하다
1	2	2	숨막힌다
1	3	101	없음
1	4	101	없음
1	5	5	생기있다, 상냥하다, 멋지다
1	6	101	없음
1	7	101	없음
1	8	8	상큼하다
1	9	101	없음
1	10	10	자유롭다, 신난다, 황홀하다, 예쁘다, 기쁘다, 자유롭다
2	1	11	예쁘다
2	2	12	화난다, 신경질난다
2	3	101	없음
2	4	101	없음
2	5	101	없음
2	6	101	없음
2	7	17	걱정스럽다
2	8	101	없음
2	9	19	훈훈하다, 싫다
2	10	101	없음
3	1	21	흥분된다
3	2	101	없음
3	3	101	없음
3	4	101	없음
3	5	25	행복하다, 적개심을느낀다, 끔찍하다
3	6	101	없음
3	7	101	없음
3	8	28	보기좋다
3	9	101	없음
3	10	30	존경스럽다
4	1	101	없음
4	2	32	혼란스럽다
4	3	101	없음
4	4	101	없음
4	5	101	없음
4	6	101	없음
4	7	101	없음
4	8	101	없음
4	9	101	없음
4	10	40	훈훈하다
5	1	101	없음
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	45	편안하다
5	6	101	없음
5	7	101	없음
5	8	101	없음
5	9	101	없음
5	10	101	없음
6	1	51	시원하다, 멋지다
6	2	101	없음
6	3	53	시원하다, 아련하다
6	4	54	좋다, 개운하다
6	5	55	측은하다
6	6	101	없음
6	7	101	없음
6	8	58	확신감이든다
6	9	59	자유롭다, 생기있다
6	10	60	활기차다, 마음이가볍다
7	1	61	반했다
7	2	62	측은하다
7	3	101	없음
7	4	64	자유스럽다, 의아하다
7	5	101	없음
7	6	101	없음
7	7	101	없음
7	8	101	없음
7	9	101	없음
7	10	70	흥겹다
8	1	101	없음
8	2	101	없음
8	3	73	공허하다, 막막하다
8	4	101	없음
8	5	101	없음
8	6	101	없음
8	7	77	의기양양하다
8	8	101	없음
8	9	79	희망차다
8	10	80	씩씩하다, 마음이넓다
9	1	101	없음
9	2	82	반감이든다, 착잡하다
9	3	101	없음
9	4	84	가엾다
9	5	101	없음
9	6	101	없음
9	7	101	없음
9	8	101	없음
9	9	89	귀찮다
9	10	101	없음
10	1	91	귀찮다
10	2	101	없음
10	3	101	없음
10	4	101	없음
10	5	101	없음
10	6	96	평화롭다, 신난다
10	7	97	가까움을느낀다
10	8	101	없음
10	9	101	없음
10	10	100	캄캄하다
